PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Heckmann, Iris; Comes, Tina; Nickel, Stefan				Comes, Tina/G-2076-2016	Comes, Tina/0000-0002-8721-8314			A critical review on supply chain risk - Definition, measure and modeling								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				119	132		10.1016/j.omega.2014.10.004					APR 2015	2015										168	1	0	4	3	172			0305-0483			WOS:000349586800011		
J	Jaehn, Florian; Rieder, Johannes; Wiehl, Andreas					Rieder, Johannes/0000-0003-4554-3749			Single-stage shunting minimizing weighted departure times								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				133	141		10.1016/j.omega.2014.11.001					APR 2015	2015										4	0	0	0	0	4			0305-0483			WOS:000349586800012		
J	Mavrotas, George; Figueira, Jose Rui; Siskos, Eleftherios				Siskos, Eleftherios/E-5500-2014; Figueira, Jose Rui/J-3194-2012	Siskos, Eleftherios/0000-0001-9667-6301; Figueira, Jose Rui/0000-0001-9822-1167			Robustness analysis methodology for multi-objective combinatorial optimization problems and application to project selection								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				142	155		10.1016/j.omega.2014.11.005					APR 2015	2015										14	0	0	1	0	14			0305-0483			WOS:000349586800013		
J	Pelegrin, Blas; Fernandez, Pascual; Garcia Perez, Maria Dolores				HERNANDEZ, PASCUAL FERNANDEZ/Q-9406-2018	HERNANDEZ, PASCUAL FERNANDEZ/0000-0001-9194-4610			On tie breaking in competitive location under binary customer behavior								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				156	167		10.1016/j.omega.2014.10.010					APR 2015	2015										2	0	0	0	0	2			0305-0483			WOS:000349586800014		
J	Akgun, Ibrahim; Gumusbuga, Ferhat; Tansel, Barbaros								Risk based facility location by using fault tree analysis in disaster management								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				168	179		10.1016/j.omega.2014.04.003					APR 2015	2015										22	2	0	3	0	24			0305-0483			WOS:000349586800015		
J	Hauck, Zsuzsanna; Voeroes, Jozsef								Lot sizing in case of defective items with investments to increase the speed of quality control								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				180	189		10.1016/j.omega.2014.04.004					APR 2015	2015										4	0	0	0	0	4			0305-0483			WOS:000349586800016		
J	Roni, Mohammad S.; Jin, Mingzhou; Eksioglu, Sandra D.				Roni, Mohammad/C-6023-2017; Eksioglu, Sandra/G-8623-2016	Roni, Mohammad/0000-0001-7114-9820; Eksioglu, Sandra/0000-0002-6674-2133; Jin, Mingzhou/0000-0002-2387-8129			A hybrid inventory management system responding to regular demand and surge demand								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				190	200		10.1016/j.omega.2014.05.002					APR 2015	2015										7	1	0	0	0	8			0305-0483			WOS:000349586800017		
J	Schmitt, Amanda J.; Sun, Siyuan Anthony; Snyder, Lawrence V.; Shen, Zuo-Jun Max								Centralization versus decentralization: Risk pooling, risk diversification, and supply chain disruptions								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				201	212		10.1016/j.omega.2014.06.002					APR 2015	2015										41	0	0	0	0	41			0305-0483			WOS:000349586800018		
J	Yang, Daojian; Qi, Ershi; Li, Yajiao								Quick response and supply chain structure with strategic consumers								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				1	14		10.1016/j.omega.2014.10.006					APR 2015	2015										30	3	0	2	1	33			0305-0483			WOS:000349586800001		
J	Xu, Jinpeng; Feng, Gengzhong; Jiang, Wei; Wang, Shouyang								Optimal procurement of long-term contracts in the presence of imperfect spot market								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				42	52		10.1016/j.omega.2014.10.003					APR 2015	2015										7	1	0	0	0	8			0305-0483			WOS:000349586800004		
J	Arns Steiner, Maria Teresinha; Datta, Dilip; Steiner Neto, Pedro Jose; Scarpin, Cassius Tadeu; Figueira, Jose Rui				Datta, Dilip/N-1217-2013; Figueira, Jose Rui/J-3194-2012; Scarpin, Cassius Tadeu/R-3081-2016	Datta, Dilip/0000-0002-9275-7697; Figueira, Jose Rui/0000-0001-9822-1167; Scarpin, Cassius Tadeu/0000-0002-1130-2448			Multi-objective optimization in partitioning the healthcare system of Parana State in Brazil								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				52				53	64		10.1016/j.omega.2014.10.005					APR 2015	2015										23	0	0	0	0	23			0305-0483			WOS:000349586800005		
